OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,Workers,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
"31471","060371872002","060371872002","06","037","187200","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",136.4014239,2.013865,134.3875589,131.4561942006,"1545","437","423","705",0.450361469650918,0.667704949176879,120.687362228737,961.58,15,7,16,13,13.3333333333333,3796.74053782498,552006.896907035
"31472","060371873001","060371873001","06","037","187300","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",175.0468755,0,175.0468755,175.0468755,"1828","804","769","966",0.823483656975834,0.739955171079685,91.4443057282676,101.93,17,19,13,20,17,6101.64108600665,708405.684487529
"31473","060371873002","060371873002","06","037","187300","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",113.7744769,0,113.7744769,113.7744769,"1651","790","741","963",0.698772545336376,0.439388144784129,101.297938817419,447.93,8,15,14,16,13.8333333333333,3432.79022570085,460437.445841702
"31477","060375437024","060375437024","06","037","543702","4","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",67.2574077,0,67.2574077,67.25741,"1534","390","390","706",0.46445009970513,0.56078594749544,133.267104792087,460,12,7,17,16,14.1666666666667,2748.49121550127,272187.095508918
"31478","060375437025","060375437025","06","037","543702","5","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",52.2520131,0,52.2520131,52.25201,"932","219","219","500",0.663776767789002,0.797214363528724,200.100998596741,449.28,19,14,19,16,17.1666666666667,2343.030615263,211460.781351289
"31479","060375437031","060375437031","06","037","543703","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",256.1572034,0,256.1572034,256.1572034,"3326","952","915","1819",0.667868818855992,0.678843179484258,112.470934323138,761.76,16,14,15,14,14.6666666666667,4138.85166862471,1036655.79387151
"31480","060372043002","060372043002","06","037","204300","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",46.1941095,0,46.1941095,46.19411,"1742","449","407","606",0.112430022205671,0.253137860786699,207.915686739237,598.14,4,2,19,15,12.3333333333333,1738.18911952743,186943.951456044
"31481","060372043003","060372043003","06","037","204300","3","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",48.1518828,0,48.1518828,48.1518828,"1068","289","275","344",0.474051021993666,0.497901217902994,137.391927694258,167.64,10,7,17,19,14.8333333333333,1774.78372068113,194867.691022871
"31482","060372043004","060372043004","06","037","204300","4","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",28.2121483,0,28.2121483,28.2121483,"1506","369","342","474",0.0407638656897916,0.541412316504217,204.190050993033,300.41,11,1,19,18,14.3333333333333,1366.98659089378,114173.728848236
"31483","060372044101","060372044101","06","037","204410","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",48.8924415,0,48.8924415,48.89244,"932","242","231","347",0.733808741042586,0.771127574066045,148.400852512141,152.89,18,17,17,20,18.1666666666667,2071.73741815901,197863.279569984
"31484","060372044102","060372044102","06","037","204410","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",24.4658652,0,24.4658652,24.46587,"1377","425","392","528",0.716367250569705,0.456945812067049,226.745302267095,103.27,9,16,20,20,17.5,1815.35051970351,99012.6886941142
"31485","060372046001","060372046001","06","037","204600","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",76.3548884,0,76.3548884,76.35489,"2753","806","774","766",0.721175228121819,0.590153413649254,220.787959399336,154.23,13,16,20,20,18.1666666666667,2676.39901049502,309001.892540581
"31486","060372046002","060372046002","06","037","204600","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",67.574437,4.5214358,63.0530012,47.49914,"1368","406","406","685",0.235945975086067,0.695093892113312,287.686861129142,195.8,16,3,20,19,16.1666666666667,2460.05053988832,273472.093312753
"31513","060372093002","060372093002","06","037","209300","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",38.2671415,0,38.2671415,35.51513,"2520","1322","1150","819",0.710577726282115,0.449709162195348,94.8113670836898,142.16,9,16,14,20,15.5,1687.28036507857,154865.672885145
"31514","060372094022","060372094022","06","037","209402","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",17.3061427,0,17.3061427,17.3061427,"1913","620","569","389",0.727590027745195,0.563254490731981,234.238216468653,162.28,12,17,20,19,17.8333333333333,1101.95619944959,70036.124537216
"31515","060372095102","060372095102","06","037","209510","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",23.1760032,0,23.1760032,23.1760032,"1857","694","643","555",0.541031961524086,0.485801182017346,211.750057059019,320.53,10,10,19,17,15.3333333333333,1320.80661287515,93792.2482045637
"31516","060372095201","060372095201","06","037","209520","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",34.6733191,0,34.6733191,34.6733191,"1870","731","670","554",0.473933595283576,0.683038536170949,239.990869521343,97.9,16,7,20,20,17.1666666666667,1505.82663739677,140320.946326993
"31517","060372098102","060372098102","06","037","209810","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",17.4072066,0,17.4072066,17.4072066,"1296","365","365","421",0.558985645510003,0.690753930205458,330.970966932742,214.58,16,10,20,19,17.3333333333333,1149.5589162464,70446.2375371138
"31518","060372098201","060372098201","06","037","209820","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",22.2990453,0,22.2990453,22.2990453,"2194","498","498","538",0.327050744733304,0.239351635456909,200.962863643315,308.46,4,4,19,18,13.6666666666667,1335.30345366424,90242.5509310696
"31519","060372100101","060372100101","06","037","210010","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",30.9851045,0,30.9851045,30.9851045,"1407","466","438","401",0.326238110889591,0.513196666211871,247.922997968266,0,10,4,20,20,15.6666666666667,1416.0149226124,125395.103933732
"31520","060372100102","060372100102","06","037","210010","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",47.0241184,0,47.0241184,47.0241184,"1025","295","279","329",0.199571142386729,0.431405517919896,186.076428388714,0,8,2,19,20,14.6666666666667,2340.11077115821,190303.756704514
"31521","060375438011","060375438011","06","037","543801","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",426.0599511,10.2662637,415.7936874,415.79369,"2694","889","863","1549",0.294075890984714,0.207260883448336,125.242113043201,976.34,3,4,16,13,10.8333333333333,6093.32698357389,1724242.48520473
"31522","060375438022","060375438022","06","037","543802","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",69.9900866,0,69.9900866,69.9900866,"756","195","195","572",0.761055096427835,0.762407100737039,195.14535077029,351.37,18,18,19,17,18,2393.99424006389,283245.420922199
"31523","060375438023","060375438023","06","037","543802","3","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",78.335642,0,78.335642,78.335642,"1804","495","453","974",0.603778306173683,0.429280959462255,144.387914762989,244.08,8,12,17,18,15,2397.19281197092,317020.544126786
"31524","060375438024","060375438024","06","037","543802","4","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",102.9559447,0,102.9559447,102.9559447,"1691","746","746","1169",0.631575986339818,0.598527978804761,167.900941032305,287,13,13,18,18,16.3333333333333,3295.09370246191,416656.417704238
"31526","060372011102","060372011102","06","037","201110","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",103.5297109,0,103.5297109,103.5297109,"815","305","265","499",0.601056243038623,0.518586797981502,59.7780090970968,638.37,11,12,10,14,11.8333333333333,3200.91918366733,418978.659102818
